lon,lat,name,type,open,sites,elev,amenities,state
-110.868,33.293,Sulphide Del Ray,NF, ,10,6000,NH ND VT NW NS NR N$ ,AZ
-109.201,35.679,Summit,RES, ,13,7726,35ft NW ,AZ
-109.175,31.885,Sunny Flat,NF, ,14,5118,NH ND 28ft VT DW NS NR L$ ,AZ
-109.548,33.992,Sunrise Lake,RES, ,200,9360,VT DW ,AZ
-113.843,34.171,Swansea Ghost Town,BLM, , , ,NH ND PT NW NS NR N$ ,AZ
-114.325,36.032,Temple Bar Marina - Lake Mead National Rec Area,NRA, ,150, ,WES DP FT DW NS RS ,AZ
-112.123,35.938,TenX,NF,early may-late sep,70,6670,NH ND 40ft VT DW NS RS PA ,AZ
-111.281,34.365,Third Crossing,NF, ,10,5161,NH ND NS NR ,AZ
-110.571,33.688,Timber Camp,NF, ,24,5705,NH ND 45ft NS NR ,AZ
-111.093,34.329,Tonto Creek,NF, , ,5423,NH ND NS NR ,AZ
-111.396,33.529,Tortilla,NF,early oct-late dec,76,1719,NH DP 22ft VT DW NS RS L$ ,AZ
-112.113,36.053,Trailer Village - Grand Canyon National Park,NP, ,84,7047,E 40ft FT DW RS ,AZ
-112.811,31.942,Twin Peaks - Organ Pipe Cactus National Monument,NM, ,208,1696,NH DP 40ft FT DW SH NR L$ ,AZ
-111.203,33.633,Upper Burnt Corral,NF, ,30,1946,NR ,AZ
-110.806,34.288,Upper Canyon Creek,NF,mid may-mid oct,10,6524,NH ND 16ft VT NW NS NR N$ ,AZ
-109.347,33.269,Upper Juan Miller,NF, ,4,5823,NH ND VT NW NS NR N$ ,AZ
-111.094,34.339,Upper Tonto Creek,NF,mid apr-mid oct,9,5577,NH ND 22ft VT DW NS NR ,AZ
-111.619,33.476,Usery Mountain,CP, ,73,1978,E DP 35ft FT DW SH ,AZ
-110.797,34.244,Valentine Ridge,NF,mid may-mid oct,10,6680,NH ND 16ft VT NW NS NR N$ ,AZ
-113.794,36.951,Virgin River,BLM, ,75,2264,NH ND 50ft FT DW NS NR ,AZ
-112.821,33.881,Vulture Peak Rd - Box Wash dispersed,BLM, , ,2534,NH ND VT NW NS NR ,AZ
-111.496,36.996,Wahweap - Glen Canyon National Rec Area,NRA, ,200,3750,WES DP 45ft FT DW SH RS ,AZ
-111.286,34.352,Water Wheel,NF, ,20,5003,NH ND NS NR ,AZ
-112.422,34.592,Watson Lake Park,CP, , ,5207,NH ND DW SH ,AZ
-109.413,33.790,West Fork,NF, ,60,7769,10ft VT NW NR ,AZ
-109.359,31.865,West Turkey Creek,NF, ,7,5968,NH ND PT NW NS NR ,AZ
-109.092,36.215,Wheatfields Lake,RES, ,25,7313,NH DP VT NW NS ,AZ
-112.017,35.119,White Horse Lake,NF,early may-late sep,94,6594,NH DP 38ft PT DW NS RS PA ,AZ
-111.089,31.395,White Rock,NF, ,15,3898,NH ND 22ft VT DW NS NR L$ ,AZ
-112.477,34.509,White Spar,NF,mid may-mid oct,59,5669,NH ND 40ft VT DW NS NR ,AZ
-112.499,33.566,White Tank Mountain,CP, ,40, ,NH ND 35ft VT NW SH L$ ,AZ
-109.721,31.562,Whitewater Draw,BLM, , ,4062,NH ND VT NW NS NR N$ ,AZ
-113.871,35.065,Wild Cow Springs,BLM, ,24,6201,NH ND 20ft VT NW NS NR ,AZ
-114.888,33.494,Wiley Wells Dispersed  - Mule Mountain,BLM, , , ,NH ND NS NR N$ ,AZ
-114.660,35.870,Willow Beach  - Lake Mead National Rec Area,NRA,all year,37, ,WES DP FT DW SH RS PA ,AZ
-111.087,33.667,Windy Hill,NF, ,347,2159,NH DP 35ft FT DW SH NR L$ ,AZ
-114.161,35.436,Windy Point,BLM, ,7,6119,NH ND VT NW NS NR ,AZ
-109.484,33.965,Winn,NF,mid may-mid nov,63,9341,NH ND 40ft VT DW NS RS PA ,AZ
-112.545,34.613,Yavapai,NF, ,21,5646,NH ND 40ft VT DW NS NR ,AZ
-114.423,32.728,Yuma VFW,BLM, , , ,NH ND NS NR ,AZ
-106.345,37.379,Alamosa,NF, ,10,8665,NH ND 22ft FT NW NS NR N$ ,CO
-106.858,38.654,Almont,NF,mid may-mid sep,10,8018,NH ND 28ft VT DW NS NR L$ ,CO
-105.562,38.080,Alvarado,NF,early jun-mid oct,50,8986,NH ND 35ft VT DW NS RS ,CO
-107.665,38.019,Amphitheater,NF,mid jun-late sep,35,8320,NH ND 20ft VT DW NS RS PA ,CO
-106.221,38.583,Angel of Shavano,NF, ,20,9180,NH ND 45ft VT DW NS NR ,CO
-105.350,40.689,Ansel Watrous,NF,all year,16,5850,NH ND 30ft VT DW NS RS ,CO
-105.760,40.121,Arapaho Bay,NF,early jun-mid oct,84,8346,NH ND 32ft VT DW NS RS ,CO
-104.733,38.251,Arkansas Point - Lake Pueblo State Park,SP, , ,4943,E DP FT DW SH RS ,CO
-106.032,40.517,Aspen,NF, ,7,8980,22ft VT DW NR ,CO
-105.843,39.425,Aspen,NF,early jun-late sep,12,9974,NH ND 25ft VT DW NS RS ,CO
-106.275,37.073,Aspen Glade,NF,mid may-mid sep,32,8540,NH ND 22ft VT DW NS RS ,CO
-105.819,40.619,Aspen Glen,NF, ,9,8724,NH ND 30ft VT DW NS NR ,CO
-107.780,39.222,Aspen Grove - Vega State Park,SP,mid may-late nov,27,7998,NH DP VT DW NS RS ,CO
-105.416,39.864,Aspen Meadow  - Golden Gate Canyon State Park,SP, ,35,8999,NH VT DW NS NR ,CO
